Specimen Step M D I T Field
FG-06B14 m1 1606.0 24.1 36.7 280 63.0
FG-06B14 m2 338.8 27.5 34.9 280 63.0
FG-06B14 m3 1553.0 27.1 37.8 280 63.0
FG-06B14 m4 1546.0 26.9 33.4 280 63.0
FG-09A14 m0 1434.0 16.6 34.4 280 63.0
FG-09A14 m1 1413.0 15.5 33.6 280 63.0
FG-09A14 m2 646.5 20.4 35.6 280 63.0
FG-09A14 m3 1396.0 15.9 35.3 280 63.0
FG-09A14 m4 1382.0 14.3 31.6 280 63.0
FG-08A11 m0 55.84 272.5 68.4 450 22.0
FG-08A11 m1 44.81 269.4 71.4 450 22.0
FG-08A11 m2 32.86 273.2 69.8 450 22.0
FG-08A11 m3 43.42 270.5 70.6 450 22.0
FG-08A11 m4 43.77 268.3 69.4 450 22.0
FG-08A12 m0 88.7 273.5 68.3 450 40.9
FG-08A12 m1 79.15 270.3 68.1 450 40.9
FG-08A12 m2 52.35 264.8 70.6 450 40.9
FG-08A12 m3 77.25 270.1 68.6 450 40.9
FG-08A12 m4 77.36 273.2 67.7 450 40.9
FG-08A13 m0 262.4 273.5 67.8 450 59.9
FG-08A13 m1 257.5 270.8 68.6 450 59.9
FG-08A13 m2 161.5 272.4 71.2 450 59.9
FG-08A13 m3 250.6 272.2 68.4 450 59.9
FG-08A13 m4 251.4 274.7 71.8 450 59.9
FG-08A14 m0 477.7 267.8 68.3 450 82.0
FG-08A14 m1 516.0 272.4 71.3 450 82.0
FG-08A14 m2 228.7 264.1 67.5 450 82.0
FG-08A14 m3 507.3 267.7 69.3 450 82.0
FG-08A14 m4 508.7 268.3 71.0 450 82.0
FG-10B11 m0 1254.0 69.8 64.9 450 31.5
FG-10B11 m1 1051.0 59.2 68.5 450 31.5
FG-10B11 m2 459.8 65.4 62.4 450 31.5
FG-10B11 m3 1017.0 61.6 67.6 450 31.5
FG-10B11 m4 1017.0 63.9 68.0 450 31.5
FG-10B12 m0 1063.0 63.9 68.3 450 50.4
FG-10B12 m1 1067.0 60.8 66.8 450 50.4
FG-10B12 m2 354.9 80.1 70.6 450 50.4
FG-10B12 m3 1050.0 64.7 71.1 450 50.4
FG-10B12 m4 1048.0 57.3 68.3 450 50.4
FG-10B13 m0 926.4 60.3 68.7 450 72.3
FG-10B13 m1 1097.0 68.3 68.8 450 72.3
FG-10B13 m2 240.4 63.8 80.6 450 72.3
FG-10B13 m3 1068.0 63.9 69.3 450 72.3
FG-10B13 m4 1081.0 62.4 68.8 450 72.3
FG-10B14 m0 1147.0 61.2 66.3 450 91.4
FG-10B14 m1 1403.0 60.1 65.9 450 91.4
FG-10B14 m2 102.4 159.9 72.6 450 91.4
FG-10B14 m3 1359.0 52.7 67.2 450 91.4
FG-10B14 m4 1360.0 60.1 70.0 450 91.4
