specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
KBW-06K2,KBW-06K2,KBW,3.5169304798e-06,0.0,-1.3800000000958256e-06,1.620000000118169e-06,2.799999999839091e-06,0.0,0.0,0.0,1.5035461965195244e-07,0.0,5.54285714299e-05,ZI,273.0,,1,,,
KBW-06K2,KBW-06K2,KBW,3.4481589291e-06,1.95192212817147e-07,-1.3700000000723726e-06,1.5999999998932863e-06,2.730000000087041e-06,4.000000001823298e-08,-1.9999999917550237e-08,1.8999999985866777e-07,1.4741452162961066e-07,2.0847561577933736e-07,5.54285714299e-05,ZI,423.0,,1,,,
KBW-06K2,KBW-06K2,KBW,3.2891032212e-06,3.103224128447657e-07,-1.2699999998228957e-06,1.5299999999925505e-06,2.6200000000345144e-06,9.999999788575599e-09,-9.999999874215292e-09,3.0999999987184095e-07,1.4061462592449666e-07,1.9885911105044259e-07,5.54285714299e-05,ZI,483.0,,1,,,
KBW-06K2,KBW-06K2,KBW,3.0184433073e-06,5.303772245172621e-07,-1.1499999999573091e-06,1.3900000001222483e-06,2.419999999822831e-06,-2.0000000015809784e-08,-2.7758581876593105e-16,5.30000000269813e-07,1.2904346503769433e-07,1.8249501839192565e-07,5.54285714299e-05,ZI,543.0,,1,,,
KBW-06K2,KBW-06K2,KBW,2.7681943573e-06,7.212489167570591e-07,-1.0999999999708947e-06,1.2699999998211874e-06,2.200000000069494e-06,2.999999992135535e-08,-2.999999994624777e-08,7.199999999522048e-07,1.1834490676033817e-07,1.6736497217824963e-07,5.54285714299e-05,ZI,593.0,,1,,,
KBW-06K2,KBW-06K2,KBW,2.5349556209e-06,8.307827634198337e-07,-1.0000000000415215e-06,1.1600000000866944e-06,2.019999999912953e-06,-2.0000000051848204e-08,-2.99999999710863e-08,8.299999999970821e-07,1.0837356336843857e-07,1.5326336311834586e-07,5.54285714299e-05,ZI,623.0,,1,,,
KBW-06K2,KBW-06K2,KBW,2.2682259588e-06,9.955747084859087e-07,-8.929999999825311e-07,1.0419999999930062e-06,1.8060000000608953e-06,-3.6999999792638824e-08,-4.2000000065466494e-08,9.940000000938872e-07,9.697042727425569e-08,1.3713689340036627e-07,5.54285714299e-05,ZI,653.0,,1,,,
KBW-06K2,KBW-06K2,KBW,1.9791730596e-06,1.193786413061118e-06,-7.659999999547942e-07,9.010000000696564e-07,1.5869999999338874e-06,-1.4000000139206253e-08,-4.0999999836713286e-08,1.1930000000078885e-06,8.461293571503055e-08,1.1966076124039902e-07,5.54285714299e-05,ZI,683.0,,1,,,
KBW-06K2,KBW-06K2,KBW,1.7462247851e-06,1.3417604107178602e-06,-6.800000000149086e-07,7.900000000104811e-07,1.401000000021665e-06,-7.00000001237145e-08,-4.9999999884439074e-08,1.3389999999118734e-06,7.465401005181475e-08,1.0557671350081379e-07,5.54285714299e-05,ZI,708.0,,1,,,
KBW-06K2,KBW-06K2,KBW,1.5005162444e-06,1.5188775461267081e-06,-5.730000000023094e-07,6.739999999444449e-07,1.2119999999094564e-06,-2.7000000006828843e-08,-4.399999987532013e-08,1.518000000045617e-06,6.414956181367793e-08,9.072118033719453e-08,5.54285714299e-05,ZI,733.0,,1,,,
KBW-06K2,KBW-06K2,KBW,1.257474453e-06,1.7337883376798155e-06,-4.799999999926369e-07,5.589999999333216e-07,1.0190000000143592e-06,-6.999999992001666e-08,-6.89999999347768e-08,1.7309999999695945e-06,5.375912153760109e-08,7.602687877973902e-08,5.54285714299e-05,ZI,753.0,,1,,,
KBW-06K2,KBW-06K2,KBW,1.0009040913e-06,1.9412184318208027e-06,-3.8599999998581955e-07,4.379999999923929e-07,8.129999999991942e-07,-1.1399999999249054e-07,-5.800000003055665e-08,1.937000000010063e-06,4.279031241017099e-08,6.051464014864557e-08,5.54285714299e-05,ZI,773.0,,1,,,
KBW-06K2,KBW-06K2,KBW,8.114499368e-07,2.1266055110786338e-06,-3.0500000001244174e-07,3.5100000000172414e-07,6.649999999428002e-07,-6.499999996597377e-08,-5.100000000580677e-08,2.124999999942082e-06,3.4690832620923175e-08,4.9060245982524535e-08,5.54285714299e-05,ZI,788.0,,1,,,
KBW-06K2,KBW-06K2,KBW,5.748130131e-07,2.3294226752757248e-06,-2.160000000298332e-07,2.450000000472947e-07,4.729999999926411e-07,-8.399999988181635e-08,-6.500000011507205e-08,2.327000000020114e-06,2.4574211077541145e-08,3.4753182590477836e-08,5.54285714299e-05,ZI,803.0,,1,,,
KBW-06K2,KBW-06K2,KBW,1.9923338070000002e-07,2.679112901730926e-06,-7.469999998424907e-08,8.27999999825771e-08,1.650999999708951e-07,-1.253000001911024e-07,-8.279999998257494e-08,2.6749000000329166e-06,8.5175579526453e-09,1.2045645974929796e-08,5.54285714299e-05,ZI,833.0,,1,,,
KBW-06K2,KBW-06K2,KBW,1.51224171e-08,2.841432506227801e-06,-8.249999981527662e-09,4.749999989267059e-09,1.1749999972473573e-08,-1.1174999992365583e-07,-7.474999992405083e-08,2.838249999995846e-06,6.465084494413956e-10,9.143010173888221e-10,5.54285714299e-05,ZI,873.0,,1,,,
KBW-06K2,KBW-06K2,KBW,3.4481589291e-06,1.805547011272819e-07,-1.3700000000723726e-06,1.5999999998932863e-06,2.730000000087041e-06,-9.999999961816675e-09,9.999999638140185e-09,1.8000000029767488e-07,1.4741452162961066e-07,1.3563532948021579e-07,5.54285714299e-05,P,423.0,543.0,1,,,
KBW-06K2,KBW-06K2,KBW,3.0184433073e-06,5.304714884754549e-07,-1.1499999999573091e-06,1.3900000001222483e-06,2.419999999822831e-06,-1.9999999945287095e-08,-1.0000000055274247e-08,5.300000000815545e-07,1.2904346503769433e-07,1.27292307859879e-07,5.54285714299e-05,P,543.0,623.0,1,,,
KBW-06K2,KBW-06K2,KBW,2.5349556209e-06,8.839038408727858e-07,-1.0000000000415215e-06,1.1600000000866944e-06,2.019999999912953e-06,-3.4000000133544776e-08,-2.1000000093020532e-08,8.829999999414921e-07,1.0837356336843857e-07,1.1719960652065473e-07,5.54285714299e-05,P,623.0,683.0,1,,,
KBW-06K2,KBW-06K2,KBW,1.9791730596e-06,1.1994036018978182e-06,-7.659999999547942e-07,9.010000000696564e-07,1.5869999999338874e-06,-4.700000001738717e-08,-3.399999990621376e-08,1.1980000001044254e-06,8.461293571503055e-08,1.0984847747374263e-07,5.54285714299e-05,P,683.0,733.0,1,,,
KBW-06K2,KBW-06K2,KBW,1.5005162444e-06,1.589015103729992e-06,-5.730000000023094e-07,6.739999999444449e-07,1.2119999999094564e-06,-6.400000013833921e-08,-4.79999998851338e-08,1.58699999996073e-06,6.414956181367793e-08,1.0571509849672565e-07,5.54285714299e-05,P,733.0,773.0,1,,,
KBW-06K2,KBW-06K2,KBW,1.0009040913e-06,2.0084795244929297e-06,-3.8599999998581955e-07,4.379999999923929e-07,8.129999999991942e-07,-5.399999983083928e-08,-5.500000012361449e-08,2.0070000000777322e-06,4.279031241017099e-08,1.0695949544068065e-07,5.54285714299e-05,P,773.0,803.0,1,,,
KBW-06K2,KBW-06K2,KBW,5.748130131e-07,2.489618181115769e-06,-2.160000000298332e-07,2.450000000472947e-07,4.729999999926411e-07,-6.17499999815398e-08,-5.474999995924365e-08,2.488250000050022e-06,2.4574211077541145e-08,1.0694240625509947e-07,5.54285714299e-05,P,803.0,873.0,1,,,
KBW-06K2,KBW-06K2,KBW,3.2847830979e-06,3.103224128447657e-07,-1.2499999999986556e-06,1.5199999998553247e-06,2.6300000001316906e-06,9.999999788575599e-09,-9.999999874215292e-09,3.0999999987184095e-07,1.4042993347767355e-07,1.9885911105044259e-07,5.54285714299e-05,T,483.0,483.0,1,,,
KBW-06K2,KBW-06K2,KBW,2.7392517226e-06,7.212489167570591e-07,-1.069999999876897e-06,1.2500000000479665e-06,2.189999999979587e-06,2.999999992135535e-08,-2.999999994624777e-08,7.199999999522048e-07,1.1710756105304078e-07,1.6736497217824963e-07,5.54285714299e-05,T,593.0,593.0,1,,,
KBW-06K2,KBW-06K2,KBW,2.2282428054e-06,9.955747084859087e-07,-8.610000000287064e-07,1.0079999998673232e-06,1.7910000000097452e-06,-3.6999999792638824e-08,-4.2000000065466494e-08,9.940000000938872e-07,9.526108105417219e-08,1.3713689340036627e-07,5.54285714299e-05,T,653.0,653.0,1,,,
KBW-06K2,KBW-06K2,KBW,1.7194257762e-06,1.3417604107178602e-06,-6.579999999966239e-07,7.689999999457706e-07,1.3899999999815902e-06,-7.00000001237145e-08,-4.9999999884439074e-08,1.3389999999118734e-06,7.350830790804137e-08,1.0557671350081379e-07,5.54285714299e-05,T,708.0,708.0,1,,,
KBW-06K2,KBW-06K2,KBW,1.2600686489e-06,1.7337883376798155e-06,-4.7199999998048536e-07,5.419999999591313e-07,1.0350000000016401e-06,-6.999999992001666e-08,-6.89999999347768e-08,1.7309999999695945e-06,5.387002772129948e-08,7.602687877973902e-08,5.54285714299e-05,T,753.0,753.0,1,,,
KBW-06K2,KBW-06K2,KBW,8.02379586e-07,2.1266055110786338e-06,-3.000000000259483e-07,3.3799999999970506e-07,6.630000000106801e-07,-6.499999996597377e-08,-5.100000000580677e-08,2.124999999942082e-06,3.430306005832156e-08,4.9060245982524535e-08,5.54285714299e-05,T,788.0,788.0,1,,,
KBW-06K2,KBW-06K2,KBW,1.820070328e-07,2.679112901730926e-06,-6.9599999985746e-08,7.279999998121133e-08,1.5159999997816644e-07,-1.253000001911024e-07,-8.279999998257494e-08,2.6749000000329166e-06,7.781102966863494e-09,1.2045645974929796e-08,5.54285714299e-05,T,833.0,833.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.8465689806e-06,0.0,2.740000000024246e-07,-5.350000000677374e-07,-1.746000000011545e-06,0.0,0.0,0.0,7.894389108168988e-08,0.0,5.663551402e-05,ZI,273.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.8306253029e-06,2.0936570858294903e-07,2.3799999998447448e-07,-5.030000000723547e-07,-1.743999999871651e-06,-7.90000000409344e-08,-2.699999987366822e-08,1.9199999981977767e-07,7.826227237748019e-08,1.1067956701836974e-07,5.663551402e-05,ZI,423.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.7161998718e-06,3.038107964124561e-07,2.0099999996715636e-07,-4.4599999987099577e-07,-1.6450000000287573e-06,4.0000000098770064e-08,9.99999980774181e-09,3.010000000211203e-07,7.337039513669676e-08,1.0376140787898953e-07,5.663551402e-05,ZI,483.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.4699217666e-06,4.4872374573708303e-07,1.420000000325211e-07,-4.4099999997994283e-07,-1.3949999999759567e-06,9.999999972254615e-09,3.800000006838543e-08,4.469999999817404e-07,6.284159707013524e-08,8.887143885777061e-08,5.663551402e-05,ZI,523.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.2717771031e-06,5.400499975863445e-07,1.4599999999979026e-07,-3.050000000612604e-07,-1.2259999999723166e-06,9.999999963826803e-10,-4.699999992055476e-08,5.379999999075147e-07,5.437058358615508e-08,7.68916167016805e-08,5.663551402e-05,ZI,563.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.1948648459e-06,6.063299431064157e-07,1.820000000300804e-07,-3.330000000133776e-07,-1.1329999999769516e-06,-2.0000000031225595e-08,1.762315874444039e-17,6.05999999922591e-07,5.108245683918089e-08,7.224150326130788e-08,5.663551402e-05,ZI,593.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.1012819802e-06,7.061975643848539e-07,1.7500000000983505e-07,-2.8600000006862623e-07,-1.048999999938292e-06,-2.700000003218424e-08,-3.099999993163636e-08,7.049999999614188e-07,4.708163388886104e-08,6.658348518431201e-08,5.663551402e-05,ZI,623.0,,1,,,
KBW-08K1,KBW-08K1,KBW,1.0135955801e-06,7.919665397452925e-07,1.4799999999661145e-07,-2.759999999785834e-07,-9.640000000057473e-07,3.299999997664797e-08,2.0999999978237457e-08,7.910000000496759e-07,4.333289463700237e-08,6.12819672925331e-08,5.663551402e-05,ZI,653.0,,1,,,
KBW-08K1,KBW-08K1,KBW,8.983969056e-07,9.053314310193e-07,1.0900000003327574e-07,-2.5000000004234237e-07,-8.559999999785223e-07,1.1400000000515408e-07,-1.4999999974550298e-08,8.979999999950122e-07,3.840795995650747e-08,5.431705787357561e-08,5.663551402e-05,ZI,683.0,,1,,,
KBW-08K1,KBW-08K1,KBW,7.813104377000001e-07,1.0410926952142878e-06,9.700000000208751e-08,-2.109999999738625e-07,-7.460000000466426e-07,6.9999999997639795e-09,-1.2000000032500255e-08,1.0410000000133398e-06,3.3402318972527554e-08,4.723801250566061e-08,5.663551402e-05,ZI,708.0,,1,,,
KBW-08K1,KBW-08K1,KBW,6.438144143e-07,1.1640146048069565e-06,9.400000001486354e-08,-1.4999999999633795e-07,-6.190000000474607e-07,4.99999996617513e-09,3.00000002626181e-09,1.1640000000876613e-06,2.7524135590540828e-08,3.8925005844738836e-08,5.663551402e-05,ZI,733.0,,1,,,
KBW-08K1,KBW-08K1,KBW,5.344174398e-07,1.2870050504842365e-06,7.699999997114457e-08,-1.4699999996824895e-07,-5.079999999765405e-07,3.00000001130886e-09,2.000000018609908e-09,1.2869999999890404e-06,2.284723322170094e-08,3.231086708483061e-08,5.663551402e-05,ZI,753.0,,1,,,
